"Refs","Value","Qty"
"BR1","KBU4M (4A)","1"
"BT1","18650","1"
"BT3","CR2032","1"
"C1","100uF/16V","1"
"C2,C3,C6","100nF","3"
"C4","100uF/100V","1"
"C5","100uF/25V","1"
"D1,D2","1N4007","2"
"D3","PWR","1"
"D4,D5","GRN","2"
"F1","T2A","1"
"J3","Exit btn","1"
"J4","Door contact","1"
"J5","Tamper","1"
"J6","LOCK COM/NO/NC","1"
"J7","AUX COM/NO/NC","1"
"J8","Fire volt-free","1"
"J9","Fire link COM-Fire","1"
"J10","5-60V AC/DC IN","1"
"J11","12V OUT (lock/aux)","1"
"J13","TTGO batt pads","1"
"K1,K2","SRD-05VDC-SL-C","2"
"M1","TTGO T-Display","1"
"Q1,Q2","PN2222A","2"
"R1,R3,R6-R8","1k","5"
"R2,R4","10k","2"
"R5","2k2","1"
"U1","PC817","1"
"U3","TEN20-2412WIN","1"
"U4","TSR-1-2450","1"
"U5","DS3231M","1"
