Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","KBU4M (4A)","Diode_Bridge_Vishay_KBU",110.860000,-109.855000,0.000000,top
"BT1","18650","BatteryHolder_Keystone_1042_1x18650",156.380000,-132.855000,0.000000,top
"BT3","CR2032","BatteryHolder_Keystone_3002_1x2032",152.425000,-76.927500,0.000000,top
"C1","100uF/16V","CP_Elec_6.3x5.3",148.810000,-111.070000,0.000000,top
"C2","100nF","C_0805_2012Metric",191.892500,-108.340000,0.000000,top
"C3","100nF","C_0805_2012Metric",197.342500,-108.340000,0.000000,top
"C4","100uF/100V","CP_Elec_10x10.5",135.560000,-100.430000,0.000000,top
"C5","100uF/25V","CP_Elec_6.3x5.3",137.160000,-111.070000,0.000000,top
"C6","100nF","C_0805_2012Metric",202.792500,-108.340000,0.000000,top
"D1","1N4007","D_SMA",159.197500,-109.110000,0.000000,top
"D2","1N4007","D_SMA",168.292500,-109.110000,0.000000,top
"D3","PWR","LED_0805_2012Metric",186.462500,-108.355000,0.000000,top
"D4","GRN","LED_0805_2012Metric",175.562500,-108.355000,0.000000,top
"D5","GRN","LED_0805_2012Metric",181.012500,-108.355000,0.000000,top
"F1","T2A","Fuseholder_Clip-5x20mm_Keystone_3512_Inline_P23.62x7.27mm_D1.02x1.57mm_Horizontal",171.650000,-82.355000,0.000000,top
"J3","Exit btn","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",97.080000,-75.745000,-90.000000,top
"J4","Door contact","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",96.655000,-92.745000,-90.000000,top
"J5","Tamper","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",96.655000,-109.745000,-90.000000,top
"J6","LOCK COM/NO/NC","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",205.565000,-48.090000,90.000000,top
"J7","AUX COM/NO/NC","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",205.565000,-70.090000,90.000000,top
"J8","Fire volt-free","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",206.500000,-83.935000,90.000000,top
"J9","Fire link COM-Fire","PinHeader_1x02_P2.54mm_Vertical",195.000000,-46.855000,0.000000,top
"J10","5-60V AC/DC IN","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",102.920000,-144.355000,0.000000,top
"J11","12V OUT (lock/aux)","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal",206.500000,-99.435000,90.000000,top
"J13","TTGO batt pads","PinHeader_1x02_P2.54mm_Vertical",140.913800,-47.130000,0.000000,top
"J15","DCDC ON","PinHeader_1x02_P2.54mm_Vertical",130.525000,-69.380000,0.000000,top
"K1","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",171.500000,-42.855000,0.000000,top
"K2","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",172.000000,-64.855000,0.000000,top
"M1","TTGO T-Display","TTGO_ESP32_TDisplay_v1.1",109.115000,-59.830000,0.000000,top
"Q1","PN2222A","TO-92_Inline",185.960000,-115.855000,0.000000,top
"Q2","PN2222A","TO-92_Inline",193.470000,-115.855000,0.000000,top
"R1","1k","R_0805_2012Metric",208.222500,-108.310000,0.000000,top
"R2","10k","R_0805_2012Metric",213.632500,-108.310000,0.000000,top
"R3","1k","R_0805_2012Metric",173.177500,-90.355000,0.000000,top
"R4","10k","R_0805_2012Metric",178.587500,-90.355000,0.000000,top
"R5","2k2","R_0805_2012Metric",189.407500,-90.355000,0.000000,top
"R6","1k","R_0805_2012Metric",194.817500,-90.355000,0.000000,top
"R7","1k","R_0805_2012Metric",167.767500,-90.355000,0.000000,top
"R8","1k","R_0805_2012Metric",183.997500,-90.355000,0.000000,top
"U1","PC817","DIP-4_W7.62mm",173.780000,-114.645000,0.000000,top
"U3","TMR10-2412WIR","Converter_DCDC_TRACO_TMR10-24xxWIR_48xxWIR_72xxWIR_THT",117.525000,-69.380000,0.000000,top
"U4","TSR-1-2450","Converter_DCDC_TRACO_TSR-1_THT",161.955000,-100.780000,0.000000,top
"U5","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",150.190000,-100.445000,0.000000,top
