Item,Refs,Qty,Value,Footprint,Type,Manufacturer,MPN,Distributor,Notes
1,"R1,R4,R7",3,1k,R_0805,SMD,Yageo,RC0805FR-071KL,LCSC C17513,
2,"R2,R6",2,10k,R_0805,SMD,Yageo,RC0805FR-0710KL,LCSC C17414,
3,"R5",1,53.6k,R_0805,SMD,Yageo,RC0805FR-0753K6L,Digikey,"buck FB divider (5V out)"
4,"C1,C2,C5,C6",4,100nF,C_0805,SMD,Samsung,CL21B104KBCNNNC,LCSC C1525,50V X7R
5,"C4",1,22uF 25V,CP_Elec_6.3x5.3,SMD,Panasonic,EEE-1EA220P,Digikey,SMD alu 6.3mm (bridge bulk)
6,"C7",1,22uF 16V,CP_Elec_6.3x5.3,SMD,Panasonic,EEE-1CA220P,Digikey,SMD alu 6.3mm (5V out)
7,"L1",1,4.7uH,L_6.3x6.3,SMD,Sunlord,SWPA6045S4R7MT,LCSC C167218,">=2A shielded power inductor"
8,"U2",1,AP63203WU,TSOT-23-6,SMD,Diodes Inc,AP63203WU-7,Digikey,"3.8-32V -> 5V 2A buck"
9,"BR1",1,ABS10,Diode_Bridge_Diotec_ABS,SMD,Diotec,ABS10,LCSC,"1A 1000V SMD bridge (AC or DC in)"
10,"F1",1,500mA PTC,Fuse_1812,SMD,Bourns,MF-MSMF050-2,Digikey,resettable PTC 1812
11,"D1",1,1N4148,SOD-123,SMD,Diodes Inc,1N4148W-7-F,LCSC C81598,relay flyback
12,"Q1",1,MMBT2222A,SOT-23,SMD,onsemi,MMBT2222ALT1G,LCSC C8286,relay driver
13,"D3",1,PWR (red),LED_0805,SMD,Kingbright,APT2012SURCK,LCSC C2286,power LED
14,"D4",1,GRN,LED_0805,SMD,Kingbright,APT2012LZGCK,LCSC C72043,relay-status LED
15,"K1",1,G6E (2A),Relay_SPDT_Omron_G6E,THT,Omron,G6E-134P-ST-US DC5,Digikey,"5V coil SPDT 2A - NOTE order the DC5 (5V) coil variant"
16,"J1,J3",2,Term 2-pin,"PT-1,5/2-3.5-H",THT,Phoenix Contact,"PT 1,5/2-3,5-H (1935161)",Digikey,"3.5mm horizontal-entry low-profile"
17,"J2",1,Term 3-pin,"PT-1,5/3-3.5-H",THT,Phoenix Contact,"PT 1,5/3-3,5-H (1935174)",Digikey,"3.5mm horizontal-entry low-profile"
NOTE,,,,,,,,,"M1 (TTGO T-Display) omitted - customer-sourced, fits headers post-assembly. K1: order the 5V-coil G6E. Phoenix order nos. indicative - confirm the PT-H horizontal variant. Distributor PNs indicative - confirm stock before ordering."
