Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","ABS10","Diode_Bridge_Diotec_ABS",20.840000,-14.950000,0.000000,top
"C1","100nF","C_0805_2012Metric",55.725000,-21.005000,0.000000,top
"C2","100nF","C_0805_2012Metric",55.725000,-25.005000,0.000000,top
"C4","22uF/25V","CP_Elec_6.3x5.3",30.325000,-15.575000,0.000000,top
"C5","100nF","C_0805_2012Metric",27.225000,-21.005000,0.000000,top
"C6","100nF","C_0805_2012Metric",38.725000,-25.005000,0.000000,top
"C7","22uF/16V","CP_Elec_6.3x5.3",50.825000,-15.575000,0.000000,top
"D1","1N4148","D_SOD-123",4.420000,-20.675000,0.000000,top
"D3","PWR","LED_0805_2012Metric",19.745000,-25.020000,0.000000,top
"D4","GRN","LED_0805_2012Metric",9.745000,-20.520000,0.000000,top
"F1","500mA PTC","Fuse_1812_4532Metric",19.975000,-20.975000,0.000000,top
"J1","12V AC/DC IN","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",43.775000,-4.625000,0.000000,top
"J2","LOCK COM/NO/NC","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",30.775000,-4.625000,0.000000,top
"J3","EXIT","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",52.775000,-4.625000,0.000000,top
"K1","G6E (2A)","Relay_SPDT_Omron_G6E",3.560000,-3.060000,0.000000,top
"L1","4.7uH","L_6.3x6.3_H3",40.775000,-20.425000,0.000000,top
"M1","TTGO T-Display","TTGO_ESP32_TDisplay_v1.1",6.615000,-58.475000,0.000000,top
"Q1","MMBT2222A","SOT-23",15.955000,-3.725000,0.000000,top
"R1","1k","R_0805_2012Metric",15.705000,-7.975000,0.000000,top
"R2","10k","R_0805_2012Metric",15.705000,-10.975000,0.000000,top
"R4","1k","R_0805_2012Metric",19.705000,-27.975000,0.000000,top
"R5","53k6","R_0805_2012Metric",47.705000,-20.975000,0.000000,top
"R6","10k","R_0805_2012Metric",47.705000,-24.975000,0.000000,top
"R7","1k","R_0805_2012Metric",9.705000,-23.975000,0.000000,top
"U2","AP63203WU","TSOT-23-6",39.075000,-13.900000,0.000000,top
